id,alias,name,image_url,is_closed,url,review_count,categories,rating,price,address,display_phone,latitude,longitude,distance
NcgdacFqZtFllBrJQglcPQ,nylon-coffee-roasters-singapore,Nylon Coffee Roasters,https://s3-media1.fl.yelpcdn.com/bphoto/niFfk-ov2thNRmwYmWUc7w/o.jpg,False,https://www.yelp.com/biz/nylon-coffee-roasters-singapore?adjust_creative=Rwp5m7-b8TP-hf0-i4DijQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Rwp5m7-b8TP-hf0-i4DijQ,71,['coffeeroasteries'],4.5,$,"4 Everton Park, # 01-40, Singapore 080004, Singapore",+65 6220 2330,1.276809987029,103.83997606961,4267.253090302004
toUE3ZDDsxOMiDOcdPixXg,five-oars-coffee-roasters-singapore-2,Five Oars Coffee Roasters,https://s3-media3.fl.yelpcdn.com/bphoto/7ERJ44MysrQoDG6exkdFdg/o.jpg,False,https://www.yelp.com/biz/five-oars-coffee-roasters-singapore-2?adjust_creative=Rwp5m7-b8TP-hf0-i4DijQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Rwp5m7-b8TP-hf0-i4DijQ,6,"['coffeeroasteries', 'breakfast_brunch']",4.5,$$,"39 Tanjong Pagar Rd, Singapore 088462, Singapore",,1.27903,103.84392,3938.3397636672826
5hb_VHKc40jT2HSBH5QljA,the-wired-monkey-singapore-singapore,The Wired Monkey Singapore,https://s3-media4.fl.yelpcdn.com/bphoto/CeyWGDejtZbPq2FRMiSKxg/o.jpg,False,https://www.yelp.com/biz/the-wired-monkey-singapore-singapore?adjust_creative=Rwp5m7-b8TP-hf0-i4DijQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Rwp5m7-b8TP-hf0-i4DijQ,9,['coffee'],5.0,$,"5 Dunlop St, Singapore 209335, Singapore",+65 9069 4569,1.30432,103.85409,1229.714431795323
sNPYckroYFGn2VZ9lI-gFQ,glasshouse-singapore,Glasshouse,https://s3-media3.fl.yelpcdn.com/bphoto/LkrV3_WMuUrXwX5rL9Q3nw/o.jpg,False,https://www.yelp.com/biz/glasshouse-singapore?adjust_creative=Rwp5m7-b8TP-hf0-i4DijQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Rwp5m7-b8TP-hf0-i4DijQ,3,['coffee'],4.5,$$,"30 Victoria St, #01-03, CHIJMES, Singapore 187996, Singapore",+65 9793 0234,1.29450802017737,103.85113726683,2194.461182204563
APd3stuYjcbW-7vqmxoXsQ,tiong-hoe-specialty-coffee-singapore-3,Tiong Hoe Specialty Coffee,https://s3-media3.fl.yelpcdn.com/bphoto/OCOiFfPw_kQrSp5bPOZ6kQ/o.jpg,False,https://www.yelp.com/biz/tiong-hoe-specialty-coffee-singapore-3?adjust_creative=Rwp5m7-b8TP-hf0-i4DijQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Rwp5m7-b8TP-hf0-i4DijQ,8,"['coffeeroasteries', 'wholesalers']",5.0,$,"170 Stirling Rd, #01-1133, Singapore 140170, Singapore",+65 6474 5442,1.29092,103.80308,5708.731154243844
Q8ddQeZJg1Q4_g9DuOJGsw,mellower-coffee-singapore-188967,Mellower Coffee,https://s3-media4.fl.yelpcdn.com/bphoto/1xKeXFUccK-AZ2A4VAAteQ/o.jpg,False,https://www.yelp.com/biz/mellower-coffee-singapore-188967?adjust_creative=Rwp5m7-b8TP-hf0-i4DijQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Rwp5m7-b8TP-hf0-i4DijQ,8,['coffee'],4.5,$$,"108 Middle Rd, 01-01, The Prospex, Singapore 188967 188967, Singapore",,1.29885205596739,103.853996805847,1788.12853642901
qjF6uy-z3JsBKLPM0Uq-bQ,common-man-coffee-roasters-singapore,Common Man Coffee Roasters,https://s3-media2.fl.yelpcdn.com/bphoto/BozNK44LP8lqypolBmew2w/o.jpg,False,https://www.yelp.com/biz/common-man-coffee-roasters-singapore?adjust_creative=Rwp5m7-b8TP-hf0-i4DijQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Rwp5m7-b8TP-hf0-i4DijQ,85,['coffeeroasteries'],4.0,$$,"22 Martin Rd, #01-00, Singapore 235098, Singapore",+65 6836 4695,1.29186,103.83842,2737.905605505153
WEjKlBpQ5VVjRBZv9hAZGg,craftsmen-specialty-coffee-singapore-4,Craftsmen Specialty Coffee,https://s3-media4.fl.yelpcdn.com/bphoto/8FUU9GNJtHaLLnIijwAF0A/o.jpg,False,https://www.yelp.com/biz/craftsmen-specialty-coffee-singapore-4?adjust_creative=Rwp5m7-b8TP-hf0-i4DijQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Rwp5m7-b8TP-hf0-i4DijQ,3,"['coffee', 'breakfast_brunch', 'juicebars']",5.0,$$,"6 Eu Tong Sen St, #01-58/59, Singapore 059817, Singapore",+65 9658 0769,1.28864617083288,103.846577815711,2845.077593218723
dyK0fMIipDHodkhL-QmTBQ,the-coffee-academics-singapore-3,The Coffee Academics,https://s3-media4.fl.yelpcdn.com/bphoto/ojR1eqedCFOb9qzJkON03A/o.jpg,False,https://www.yelp.com/biz/the-coffee-academics-singapore-3?adjust_creative=Rwp5m7-b8TP-hf0-i4DijQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Rwp5m7-b8TP-hf0-i4DijQ,8,['coffee'],4.0,$$,"80 Bras Basah Rd, Level B1, Singapore 189560, Singapore",,1.29363012201287,103.853649449995,2337.647061784539
cmBBfYPOWpucUVUwnWeZQQ,the-clueless-goat-singapore,The Clueless Goat,https://s3-media3.fl.yelpcdn.com/bphoto/lg3GV-A6GhzSHosJ10VncQ/o.jpg,False,https://www.yelp.com/biz/the-clueless-goat-singapore?adjust_creative=Rwp5m7-b8TP-hf0-i4DijQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Rwp5m7-b8TP-hf0-i4DijQ,15,"['coffee', 'breakfast_brunch']",4.0,$,"189 Thomson Rd, Singapore 307631, Singapore",+65 8283 0885,1.31866539293884,103.843580782413,782.2395585889071
voQKQyW1fSUNBJ4haS8kbA,jewel-coffee-singapore-3,Jewel Coffee,https://s3-media1.fl.yelpcdn.com/bphoto/vw3hdK9xqeFsLfibd7u7Zw/o.jpg,False,https://www.yelp.com/biz/jewel-coffee-singapore-3?adjust_creative=Rwp5m7-b8TP-hf0-i4DijQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Rwp5m7-b8TP-hf0-i4DijQ,8,"['coffee', 'breakfast_brunch']",4.5,$$,"442 Orchard Rd, #01-01, Singapore 238879, Singapore",+65 6235 3945,1.30727573941628,103.828861865088,2359.651552642449
v4bAomNGSE-iIxxkDgZNnQ,chye-seng-huat-hardware-singapore,Chye Seng Huat Hardware,https://s3-media1.fl.yelpcdn.com/bphoto/qlHwpcmvbVlTSs2X-XvMAA/o.jpg,False,https://www.yelp.com/biz/chye-seng-huat-hardware-singapore?adjust_creative=Rwp5m7-b8TP-hf0-i4DijQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Rwp5m7-b8TP-hf0-i4DijQ,61,['coffee'],3.5,$$,"150 Tyrwhitt Rd, Singapore 207563, Singapore",+65 6396 0609,1.311494049613,103.860282227397,1292.8533675466904
fZHiE60X-w7L5VyC8EU19g,brawn-and-brains-coffee-singapore,Brawn & Brains Coffee,https://s3-media3.fl.yelpcdn.com/bphoto/hjOEisgZi9IC1-Nsx4sqPA/o.jpg,False,https://www.yelp.com/biz/brawn-and-brains-coffee-singapore?adjust_creative=Rwp5m7-b8TP-hf0-i4DijQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Rwp5m7-b8TP-hf0-i4DijQ,26,"['coffee', 'sandwiches']",4.0,$$,"100 Guillemard Rd, #01-02, Singapore 399718, Singapore",+65 6348 0501,1.310077,103.881833,3682.6713743071855
E1bWrjBJDrHUKqzu3SPt3w,tolidos-espresso-nook-singapore-3,Tolido's Espresso Nook,https://s3-media3.fl.yelpcdn.com/bphoto/40D0vX8qEoBwKFSplvDOHA/o.jpg,False,https://www.yelp.com/biz/tolidos-espresso-nook-singapore-3?adjust_creative=Rwp5m7-b8TP-hf0-i4DijQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Rwp5m7-b8TP-hf0-i4DijQ,66,"['breakfast_brunch', 'coffee']",4.5,$$,"462 Crawford Ln, #01-63, Singapore 190462, Singapore",+65 6648 0178,1.30453486052728,103.861071132123,1717.8879298501213
WmJfRW39Nw4zausz4iQpRA,coffee-smith-singapore,Coffee Smith,https://s3-media4.fl.yelpcdn.com/bphoto/u64v_rnje3jxN4gt2P5JuQ/o.jpg,False,https://www.yelp.com/biz/coffee-smith-singapore?adjust_creative=Rwp5m7-b8TP-hf0-i4DijQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Rwp5m7-b8TP-hf0-i4DijQ,2,"['coffee', 'breakfast_brunch', 'waffles']",4.0,$$,"277 Orchard Rd, #01-09/09A, Singapore 238858, Singapore",+65 6385 4979,1.30049685455862,103.839501984304,1843.7174755919764
