id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
NcgdacFqZtFllBrJQglcPQ,nylon-coffee-roasters-singapore,Nylon Coffee Roasters,https://s3-media1.fl.yelpcdn.com/bphoto/niFfk-ov2thNRmwYmWUc7w/o.jpg,False,https://www.yelp.com/biz/nylon-coffee-roasters-singapore?adjust_creative=Rwp5m7-b8TP-hf0-i4DijQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Rwp5m7-b8TP-hf0-i4DijQ,71,"[{'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}]",4.5,"{'latitude': 1.276809987029, 'longitude': 103.83997606961}",[],$,"{'address1': '4 Everton Park', 'address2': '# 01-40', 'address3': '', 'city': 'Singapore', 'zip_code': '080004', 'country': 'SG', 'state': 'SG', 'display_address': ['4 Everton Park', '# 01-40', 'Singapore 080004', 'Singapore']}",+6562202330,+65 6220 2330,4267.253090302004
toUE3ZDDsxOMiDOcdPixXg,five-oars-coffee-roasters-singapore-2,Five Oars Coffee Roasters,https://s3-media3.fl.yelpcdn.com/bphoto/7ERJ44MysrQoDG6exkdFdg/o.jpg,False,https://www.yelp.com/biz/five-oars-coffee-roasters-singapore-2?adjust_creative=Rwp5m7-b8TP-hf0-i4DijQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Rwp5m7-b8TP-hf0-i4DijQ,6,"[{'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,"{'latitude': 1.27903, 'longitude': 103.84392}",[],$$,"{'address1': '39 Tanjong Pagar Rd', 'address2': '', 'address3': None, 'city': 'Singapore', 'zip_code': '088462', 'country': 'SG', 'state': 'SG', 'display_address': ['39 Tanjong Pagar Rd', 'Singapore 088462', 'Singapore']}",,,3938.3397636672826
5hb_VHKc40jT2HSBH5QljA,the-wired-monkey-singapore-singapore,The Wired Monkey Singapore,https://s3-media4.fl.yelpcdn.com/bphoto/CeyWGDejtZbPq2FRMiSKxg/o.jpg,False,https://www.yelp.com/biz/the-wired-monkey-singapore-singapore?adjust_creative=Rwp5m7-b8TP-hf0-i4DijQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Rwp5m7-b8TP-hf0-i4DijQ,9,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",5.0,"{'latitude': 1.30432, 'longitude': 103.85409}",[],$,"{'address1': '5 Dunlop St', 'address2': None, 'address3': '', 'city': 'Singapore', 'zip_code': '209335', 'country': 'SG', 'state': 'SG', 'display_address': ['5 Dunlop St', 'Singapore 209335', 'Singapore']}",+6590694569,+65 9069 4569,1229.714431795323
sNPYckroYFGn2VZ9lI-gFQ,glasshouse-singapore,Glasshouse,https://s3-media3.fl.yelpcdn.com/bphoto/LkrV3_WMuUrXwX5rL9Q3nw/o.jpg,False,https://www.yelp.com/biz/glasshouse-singapore?adjust_creative=Rwp5m7-b8TP-hf0-i4DijQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Rwp5m7-b8TP-hf0-i4DijQ,3,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.5,"{'latitude': 1.29450802017737, 'longitude': 103.85113726683}",[],,"{'address1': '30 Victoria St', 'address2': '#01-03', 'address3': 'CHIJMES', 'city': 'Singapore', 'zip_code': '187996', 'country': 'SG', 'state': 'SG', 'display_address': ['30 Victoria St', '#01-03', 'CHIJMES', 'Singapore 187996', 'Singapore']}",+6597930234,+65 9793 0234,2194.461182204563
APd3stuYjcbW-7vqmxoXsQ,tiong-hoe-specialty-coffee-singapore-3,Tiong Hoe Specialty Coffee,https://s3-media3.fl.yelpcdn.com/bphoto/OCOiFfPw_kQrSp5bPOZ6kQ/o.jpg,False,https://www.yelp.com/biz/tiong-hoe-specialty-coffee-singapore-3?adjust_creative=Rwp5m7-b8TP-hf0-i4DijQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Rwp5m7-b8TP-hf0-i4DijQ,8,"[{'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}, {'alias': 'wholesalers', 'title': 'Wholesalers'}]",5.0,"{'latitude': 1.29092, 'longitude': 103.80308}",[],$,"{'address1': '170 Stirling Rd', 'address2': '#01-1133', 'address3': None, 'city': 'Singapore', 'zip_code': '140170', 'country': 'SG', 'state': 'SG', 'display_address': ['170 Stirling Rd', '#01-1133', 'Singapore 140170', 'Singapore']}",+6564745442,+65 6474 5442,5708.731154243844
Q8ddQeZJg1Q4_g9DuOJGsw,mellower-coffee-singapore-188967,Mellower Coffee,https://s3-media4.fl.yelpcdn.com/bphoto/1xKeXFUccK-AZ2A4VAAteQ/o.jpg,False,https://www.yelp.com/biz/mellower-coffee-singapore-188967?adjust_creative=Rwp5m7-b8TP-hf0-i4DijQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Rwp5m7-b8TP-hf0-i4DijQ,8,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.5,"{'latitude': 1.29885205596739, 'longitude': 103.853996805847}",[],$$,"{'address1': '108 Middle Rd', 'address2': '01-01', 'address3': 'The Prospex', 'city': 'Singapore 188967', 'zip_code': '188967', 'country': 'SG', 'state': 'SG', 'display_address': ['108 Middle Rd', '01-01', 'The Prospex', 'Singapore 188967 188967', 'Singapore']}",,,1788.12853642901
qjF6uy-z3JsBKLPM0Uq-bQ,common-man-coffee-roasters-singapore,Common Man Coffee Roasters,https://s3-media2.fl.yelpcdn.com/bphoto/BozNK44LP8lqypolBmew2w/o.jpg,False,https://www.yelp.com/biz/common-man-coffee-roasters-singapore?adjust_creative=Rwp5m7-b8TP-hf0-i4DijQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Rwp5m7-b8TP-hf0-i4DijQ,85,"[{'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}]",4.0,"{'latitude': 1.29186, 'longitude': 103.83842}",[],$$,"{'address1': '22 Martin Rd', 'address2': '#01-00', 'address3': '', 'city': 'Singapore', 'zip_code': '235098', 'country': 'SG', 'state': 'SG', 'display_address': ['22 Martin Rd', '#01-00', 'Singapore 235098', 'Singapore']}",+6568364695,+65 6836 4695,2737.905605505153
WEjKlBpQ5VVjRBZv9hAZGg,craftsmen-specialty-coffee-singapore-4,Craftsmen Specialty Coffee,https://s3-media4.fl.yelpcdn.com/bphoto/8FUU9GNJtHaLLnIijwAF0A/o.jpg,False,https://www.yelp.com/biz/craftsmen-specialty-coffee-singapore-4?adjust_creative=Rwp5m7-b8TP-hf0-i4DijQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Rwp5m7-b8TP-hf0-i4DijQ,3,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]",5.0,"{'latitude': 1.28864617083288, 'longitude': 103.846577815711}",[],,"{'address1': '6 Eu Tong Sen St', 'address2': '#01-58/59', 'address3': None, 'city': 'Singapore', 'zip_code': '059817', 'country': 'SG', 'state': 'SG', 'display_address': ['6 Eu Tong Sen St', '#01-58/59', 'Singapore 059817', 'Singapore']}",+6596580769,+65 9658 0769,2845.077593218723
dyK0fMIipDHodkhL-QmTBQ,the-coffee-academics-singapore-3,The Coffee Academics,https://s3-media4.fl.yelpcdn.com/bphoto/ojR1eqedCFOb9qzJkON03A/o.jpg,False,https://www.yelp.com/biz/the-coffee-academics-singapore-3?adjust_creative=Rwp5m7-b8TP-hf0-i4DijQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Rwp5m7-b8TP-hf0-i4DijQ,8,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.0,"{'latitude': 1.29363012201287, 'longitude': 103.853649449995}",[],$$,"{'address1': '80 Bras Basah Rd', 'address2': 'Level B1', 'address3': None, 'city': 'Singapore', 'zip_code': '189560', 'country': 'SG', 'state': 'SG', 'display_address': ['80 Bras Basah Rd', 'Level B1', 'Singapore 189560', 'Singapore']}",,,2337.647061784539
cmBBfYPOWpucUVUwnWeZQQ,the-clueless-goat-singapore,The Clueless Goat,https://s3-media3.fl.yelpcdn.com/bphoto/lg3GV-A6GhzSHosJ10VncQ/o.jpg,False,https://www.yelp.com/biz/the-clueless-goat-singapore?adjust_creative=Rwp5m7-b8TP-hf0-i4DijQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Rwp5m7-b8TP-hf0-i4DijQ,15,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,"{'latitude': 1.31866539293884, 'longitude': 103.843580782413}",[],$,"{'address1': '189 Thomson Rd', 'address2': '', 'address3': '', 'city': 'Singapore', 'zip_code': '307631', 'country': 'SG', 'state': 'SG', 'display_address': ['189 Thomson Rd', 'Singapore 307631', 'Singapore']}",+6582830885,+65 8283 0885,782.2395585889071
voQKQyW1fSUNBJ4haS8kbA,jewel-coffee-singapore-3,Jewel Coffee,https://s3-media1.fl.yelpcdn.com/bphoto/vw3hdK9xqeFsLfibd7u7Zw/o.jpg,False,https://www.yelp.com/biz/jewel-coffee-singapore-3?adjust_creative=Rwp5m7-b8TP-hf0-i4DijQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Rwp5m7-b8TP-hf0-i4DijQ,8,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,"{'latitude': 1.30727573941628, 'longitude': 103.828861865088}",[],$$,"{'address1': '442 Orchard Rd', 'address2': '#01-01', 'address3': '', 'city': 'Singapore', 'zip_code': '238879', 'country': 'SG', 'state': 'SG', 'display_address': ['442 Orchard Rd', '#01-01', 'Singapore 238879', 'Singapore']}",+6562353945,+65 6235 3945,2359.651552642449
v4bAomNGSE-iIxxkDgZNnQ,chye-seng-huat-hardware-singapore,Chye Seng Huat Hardware,https://s3-media1.fl.yelpcdn.com/bphoto/qlHwpcmvbVlTSs2X-XvMAA/o.jpg,False,https://www.yelp.com/biz/chye-seng-huat-hardware-singapore?adjust_creative=Rwp5m7-b8TP-hf0-i4DijQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Rwp5m7-b8TP-hf0-i4DijQ,61,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",3.5,"{'latitude': 1.311494049613, 'longitude': 103.860282227397}",[],$$,"{'address1': '150 Tyrwhitt Rd', 'address2': '', 'address3': '', 'city': 'Singapore', 'zip_code': '207563', 'country': 'SG', 'state': 'SG', 'display_address': ['150 Tyrwhitt Rd', 'Singapore 207563', 'Singapore']}",+6563960609,+65 6396 0609,1292.8533675466904
fZHiE60X-w7L5VyC8EU19g,brawn-and-brains-coffee-singapore,Brawn & Brains Coffee,https://s3-media3.fl.yelpcdn.com/bphoto/hjOEisgZi9IC1-Nsx4sqPA/o.jpg,False,https://www.yelp.com/biz/brawn-and-brains-coffee-singapore?adjust_creative=Rwp5m7-b8TP-hf0-i4DijQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Rwp5m7-b8TP-hf0-i4DijQ,26,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.0,"{'latitude': 1.310077, 'longitude': 103.881833}",[],$$,"{'address1': '100 Guillemard Rd', 'address2': '#01-02', 'address3': '', 'city': 'Singapore', 'zip_code': '399718', 'country': 'SG', 'state': 'SG', 'display_address': ['100 Guillemard Rd', '#01-02', 'Singapore 399718', 'Singapore']}",+6563480501,+65 6348 0501,3682.6713743071855
E1bWrjBJDrHUKqzu3SPt3w,tolidos-espresso-nook-singapore-3,Tolido's Espresso Nook,https://s3-media3.fl.yelpcdn.com/bphoto/40D0vX8qEoBwKFSplvDOHA/o.jpg,False,https://www.yelp.com/biz/tolidos-espresso-nook-singapore-3?adjust_creative=Rwp5m7-b8TP-hf0-i4DijQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Rwp5m7-b8TP-hf0-i4DijQ,66,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.5,"{'latitude': 1.30453486052728, 'longitude': 103.861071132123}",[],$$,"{'address1': '462 Crawford Ln', 'address2': '#01-63', 'address3': None, 'city': 'Singapore', 'zip_code': '190462', 'country': 'SG', 'state': 'SG', 'display_address': ['462 Crawford Ln', '#01-63', 'Singapore 190462', 'Singapore']}",+6566480178,+65 6648 0178,1717.8879298501213
WmJfRW39Nw4zausz4iQpRA,coffee-smith-singapore,Coffee Smith,https://s3-media4.fl.yelpcdn.com/bphoto/u64v_rnje3jxN4gt2P5JuQ/o.jpg,False,https://www.yelp.com/biz/coffee-smith-singapore?adjust_creative=Rwp5m7-b8TP-hf0-i4DijQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Rwp5m7-b8TP-hf0-i4DijQ,2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'waffles', 'title': 'Waffles'}]",4.0,"{'latitude': 1.30049685455862, 'longitude': 103.839501984304}",[],,"{'address1': '277 Orchard Rd', 'address2': '#01-09/09A', 'address3': None, 'city': 'Singapore', 'zip_code': '238858', 'country': 'SG', 'state': 'SG', 'display_address': ['277 Orchard Rd', '#01-09/09A', 'Singapore 238858', 'Singapore']}",+6563854979,+65 6385 4979,1843.7174755919764
xqniVNVNvAE1E9Qzf8b_Bw,tiong-bahru-bakery-singapore-4,Tiong Bahru Bakery,https://s3-media4.fl.yelpcdn.com/bphoto/RfwcH7BQ4rnFkepV5IojUQ/o.jpg,False,https://www.yelp.com/biz/tiong-bahru-bakery-singapore-4?adjust_creative=Rwp5m7-b8TP-hf0-i4DijQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Rwp5m7-b8TP-hf0-i4DijQ,69,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'bakeries', 'title': 'Bakeries'}]",4.0,"{'latitude': 1.28428, 'longitude': 103.83383}",[],$$,"{'address1': '56 Eng Hoon St', 'address2': '#01-70', 'address3': '', 'city': 'Singapore', 'zip_code': '160056', 'country': 'SG', 'state': 'SG', 'display_address': ['56 Eng Hoon St', '#01-70', 'Singapore 160056', 'Singapore']}",+6562203430,+65 6220 3430,3722.8038119455446
2qiPBSGJqwJrzf5lZJWITw,patisserie-g-singapore,Patisserie G,https://s3-media1.fl.yelpcdn.com/bphoto/2opMGz-XwI_8BGjz2d-xXg/o.jpg,False,https://www.yelp.com/biz/patisserie-g-singapore?adjust_creative=Rwp5m7-b8TP-hf0-i4DijQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Rwp5m7-b8TP-hf0-i4DijQ,26,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cakeshop', 'title': 'Patisserie/Cake Shop'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,"{'latitude': 1.292364, 'longitude': 103.859633}",[],$$,"{'address1': '9 Raffles Blvd', 'address2': '#01-40', 'address3': '', 'city': 'Singapore', 'zip_code': '039596', 'country': 'SG', 'state': 'SG', 'display_address': ['9 Raffles Blvd', '#01-40', 'Singapore 039596', 'Singapore']}",+6563387578,+65 6338 7578,2694.989377321586
cO6aT4EzjyJl1pJIn_VhPA,grind-coffee-singapore,Grind Coffee,https://s3-media1.fl.yelpcdn.com/bphoto/ZreoG4mkk-daxUveyMp6Uw/o.jpg,False,https://www.yelp.com/biz/grind-coffee-singapore?adjust_creative=Rwp5m7-b8TP-hf0-i4DijQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Rwp5m7-b8TP-hf0-i4DijQ,3,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",5.0,"{'latitude': 1.284358, 'longitude': 103.8510616}",[],$$,"{'address1': '1 Raffles Place', 'address2': '#01-14/15', 'address3': None, 'city': 'Singapore', 'zip_code': '048616', 'country': 'SG', 'state': 'SG', 'display_address': ['1 Raffles Place', '#01-14/15', 'Singapore 048616', 'Singapore']}",,,3317.9072048343087
